match_id,year,cup_name,round,date,team1,team2,team1_score,team2_score,team1_ht_score,team2_ht_score,group,ground
1962_4,1962,World Cup 1962,Matchday 2,1962-06-03,Soviet Union,Colombia,4.0,4.0,,,Group 1,"Estadio Carlos Dittborn, Arica"
1962_5,1962,World Cup 1962,Matchday 3,1962-06-06,Soviet Union,Uruguay,2.0,1.0,,,Group 1,"Estadio Carlos Dittborn, Arica"
1962_6,1962,World Cup 1962,Matchday 3,1962-06-07,Yugoslavia,Colombia,5.0,0.0,,,Group 1,"Estadio Carlos Dittborn, Arica"
1962_7,1962,World Cup 1962,Matchday 1,1962-05-30,Chile,Switzerland,3.0,1.0,,,Group 2,"Estadio Nacional, Santiago"
1962_8,1962,World Cup 1962,Matchday 1,1962-05-31,West Germany,Italy,0.0,0.0,,,Group 2,"Estadio Nacional, Santiago"
1962_9,1962,World Cup 1962,Matchday 2,1962-06-02,Chile,Italy,2.0,0.0,,,Group 2,"Estadio Nacional, Santiago"
1962_10,1962,World Cup 1962,Matchday 2,1962-06-03,West Germany,Switzerland,2.0,1.0,,,Group 2,"Estadio Nacional, Santiago"
1962_11,1962,World Cup 1962,Matchday 3,1962-06-06,West Germany,Chile,2.0,0.0,,,Group 2,"Estadio Nacional, Santiago"
1962_12,1962,World Cup 1962,Matchday 3,1962-06-07,Italy,Switzerland,3.0,0.0,,,Group 2,"Estadio Nacional, Santiago"
1962_13,1962,World Cup 1962,Matchday 1,1962-05-30,Brazil,Mexico,2.0,0.0,,,Group 3,"Estadio Sausalito, Viña del Mar"
1962_14,1962,World Cup 1962,Matchday 1,1962-05-31,Czechoslovakia,Spain,1.0,0.0,,,Group 3,"Estadio Sausalito, Viña del Mar"
1962_15,1962,World Cup 1962,Matchday 2,1962-06-02,Brazil,Czechoslovakia,0.0,0.0,,,Group 3,"Estadio Sausalito, Viña del Mar"
1962_16,1962,World Cup 1962,Matchday 2,1962-06-03,Spain,Mexico,1.0,0.0,,,Group 3,"Estadio Sausalito, Viña del Mar"
1962_17,1962,World Cup 1962,Matchday 3,1962-06-06,Brazil,Spain,2.0,1.0,,,Group 3,"Estadio Sausalito, Viña del Mar"
1962_18,1962,World Cup 1962,Matchday 3,1962-06-07,Mexico,Czechoslovakia,3.0,1.0,,,Group 3,"Estadio Sausalito, Viña del Mar"
1962_19,1962,World Cup 1962,Matchday 1,1962-05-30,Argentina,Bulgaria,1.0,0.0,,,Group 4,"Estadio El Teniente, Rancagua"
1962_20,1962,World Cup 1962,Matchday 1,1962-05-31,Hungary,England,2.0,1.0,,,Group 4,"Estadio El Teniente, Rancagua"
1962_21,1962,World Cup 1962,Matchday 2,1962-06-02,England,Argentina,3.0,1.0,,,Group 4,"Estadio El Teniente, Rancagua"
1962_22,1962,World Cup 1962,Matchday 2,1962-06-03,Hungary,Bulgaria,6.0,1.0,,,Group 4,"Estadio El Teniente, Rancagua"
1962_23,1962,World Cup 1962,Matchday 3,1962-06-06,Hungary,Argentina,0.0,0.0,,,Group 4,"Estadio El Teniente, Rancagua"
1962_24,1962,World Cup 1962,Matchday 3,1962-06-07,England,Bulgaria,0.0,0.0,,,Group 4,"Estadio El Teniente, Rancagua"
1962_25,1962,World Cup 1962,Quarter-finals,1962-06-10,Chile,Soviet Union,2.0,1.0,,,,"Estadio Carlos Dittborn, Arica"
1962_26,1962,World Cup 1962,Quarter-finals,1962-06-10,Yugoslavia,West Germany,1.0,0.0,,,,"Estadio Nacional, Santiago"
1962_27,1962,World Cup 1962,Quarter-finals,1962-06-10,Brazil,England,3.0,1.0,,,,"Estadio Sausalito, Viña del Mar"
1962_28,1962,World Cup 1962,Quarter-finals,1962-06-10,Czechoslovakia,Hungary,1.0,0.0,,,,"Estadio El Teniente, Rancagua"
1962_29,1962,World Cup 1962,Semi-finals,1962-06-13,Brazil,Chile,4.0,2.0,,,,"Estadio Nacional, Santiago"
1962_30,1962,World Cup 1962,Semi-finals,1962-06-13,Czechoslovakia,Yugoslavia,3.0,1.0,,,,"Estadio Sausalito, Viña del Mar"
1962_31,1962,World Cup 1962,Third-place match,1962-06-16,Chile,Yugoslavia,1.0,0.0,,,,"Estadio Nacional, Santiago"
1962_32,1962,World Cup 1962,Final,1962-06-17,Brazil,Czechoslovakia,3.0,1.0,,,,"Estadio Nacional, Santiago"
1966_1,1966,World Cup 1966,Matchday 1,1966-07-11,England,Uruguay,0.0,0.0,,,Group 1,"Wembley Stadium, London"
1966_2,1966,World Cup 1966,Matchday 1,1966-07-13,France,Mexico,1.0,1.0,,,Group 1,"Wembley Stadium, London"
1966_3,1966,World Cup 1966,Matchday 2,1966-07-15,Uruguay,France,2.0,1.0,,,Group 1,"White City Stadium, London"
1966_4,1966,World Cup 1966,Matchday 2,1966-07-16,England,Mexico,2.0,0.0,,,Group 1,"Wembley Stadium, London"
1966_5,1966,World Cup 1966,Matchday 3,1966-07-19,Mexico,Uruguay,0.0,0.0,,,Group 1,"Wembley Stadium, London"
1966_6,1966,World Cup 1966,Matchday 3,1966-07-20,England,France,2.0,0.0,,,Group 1,"Wembley Stadium, London"
1966_7,1966,World Cup 1966,Matchday 1,1966-07-12,West Germany,Switzerland,5.0,0.0,,,Group 2,"Hillsborough Stadium, Sheffield"
1966_8,1966,World Cup 1966,Matchday 1,1966-07-13,Argentina,Spain,2.0,1.0,,,Group 2,"Villa Park, Birmingham"
1966_9,1966,World Cup 1966,Matchday 2,1966-07-15,Spain,Switzerland,2.0,1.0,,,Group 2,"Hillsborough Stadium, Sheffield"
1966_10,1966,World Cup 1966,Matchday 2,1966-07-16,Argentina,West Germany,0.0,0.0,,,Group 2,"Villa Park, Birmingham"
1966_11,1966,World Cup 1966,Matchday 3,1966-07-19,Argentina,Switzerland,2.0,0.0,,,Group 2,"Hillsborough Stadium, Sheffield"
1966_12,1966,World Cup 1966,Matchday 3,1966-07-20,West Germany,Spain,2.0,1.0,,,Group 2,"Villa Park, Birmingham"
1966_13,1966,World Cup 1966,Matchday 1,1966-07-12,Brazil,Bulgaria,2.0,0.0,,,Group 3,"Goodison Park, Liverpool"
1966_14,1966,World Cup 1966,Matchday 1,1966-07-13,Portugal,Hungary,3.0,1.0,,,Group 3,"Old Trafford, Manchester"
1966_15,1966,World Cup 1966,Matchday 2,1966-07-15,Hungary,Brazil,3.0,1.0,,,Group 3,"Goodison Park, Liverpool"
1966_16,1966,World Cup 1966,Matchday 2,1966-07-16,Portugal,Bulgaria,3.0,0.0,,,Group 3,"Old Trafford, Manchester"
1966_17,1966,World Cup 1966,Matchday 3,1966-07-19,Portugal,Brazil,3.0,1.0,,,Group 3,"Goodison Park, Liverpool"
1966_18,1966,World Cup 1966,Matchday 3,1966-07-20,Hungary,Bulgaria,3.0,1.0,,,Group 3,"Old Trafford, Manchester"
1966_19,1966,World Cup 1966,Matchday 1,1966-07-12,Soviet Union,North Korea,3.0,0.0,,,Group 4,"Ayresome Park, Middlesbrough"
1966_20,1966,World Cup 1966,Matchday 1,1966-07-13,Italy,Chile,2.0,0.0,,,Group 4,"Roker Park, Sunderland"
