match_id,year,round,team1_normalized,team2_normalized,team1_score_final,team2_score_final,target,team1_games,team1_wins,team1_goals_for,team1_goals_against,team1_goal_difference,team1_win_rate,team1_goals_per_game,team1_goals_against_per_game,team2_games,team2_wins,team2_goals_for,team2_goals_against,team2_goal_difference,team2_win_rate,team2_goals_per_game,team2_goals_against_per_game,win_rate_diff,goals_per_game_diff,goals_against_per_game_diff,goal_difference_diff,experience_diff
1954_13,1954,Matchday 2,Uruguay,Scotland,7.0,0.0,team1_win,59,25,89,76,13,0.423728813559322,1.5084745762711864,1.2881355932203389,23,4,25,41,-16,0.1739130434782608,1.0869565217391304,1.7826086956521738,0.2498157700810612,0.42151805453205604,-0.49447310243183495,29,36
1954_14,1954,Matchday 1,England,Belgium,4.0,4.0,draw,74,32,104,68,36,0.4324324324324324,1.4054054054054057,0.918918918918919,51,21,69,74,-5,0.4117647058823529,1.3529411764705883,1.4509803921568627,0.02066772655007948,0.05246422893481739,-0.5320614732379437,41,23
1954_15,1954,Matchday 1,Switzerland,Italy,2.0,1.0,team1_win,41,14,55,73,-18,0.3414634146341463,1.3414634146341464,1.7804878048780488,83,45,128,77,51,0.5421686746987951,1.5421686746987953,0.927710843373494,-0.20070526006464884,-0.20070526006464884,0.8527769615045548,-69,-42
1954_16,1954,Matchday 2,England,Switzerland,2.0,0.0,team1_win,74,32,104,68,36,0.4324324324324324,1.4054054054054057,0.918918918918919,41,14,55,73,-18,0.3414634146341463,1.3414634146341464,1.7804878048780488,0.09096901779828609,0.06394199077125928,-0.8615688859591298,54,33
1954_17,1954,Matchday 2,Italy,Belgium,4.0,1.0,team1_win,83,45,128,77,51,0.5421686746987951,1.5421686746987953,0.927710843373494,51,21,69,74,-5,0.4117647058823529,1.3529411764705883,1.4509803921568627,0.13040396881644223,0.18922749822820695,-0.5232695487833687,56,32
1954_18,1954,Group 4 Play-off,Switzerland,Italy,4.0,1.0,team1_win,41,14,55,73,-18,0.3414634146341463,1.3414634146341464,1.7804878048780488,83,45,128,77,51,0.5421686746987951,1.5421686746987953,0.927710843373494,-0.20070526006464884,-0.20070526006464884,0.8527769615045548,-69,-42
1954_19,1954,Quarter-finals,Austria,Switzerland,7.0,5.0,team1_win,29,12,43,47,-4,0.4137931034482758,1.4827586206896552,1.6206896551724137,41,14,55,73,-18,0.3414634146341463,1.3414634146341464,1.7804878048780488,0.07232968881412949,0.14129520605550883,-0.1597981497056351,14,-12
1954_20,1954,Quarter-finals,Uruguay,England,4.0,2.0,team1_win,59,25,89,76,13,0.423728813559322,1.5084745762711864,1.2881355932203389,74,32,104,68,36,0.4324324324324324,1.4054054054054057,0.918918918918919,-0.008703618873110386,0.10306917086578071,0.3692166743014199,-23,-15
1954_21,1954,Quarter-finals,Serbia,Germany,0.0,2.0,team2_win,46,18,69,61,8,0.391304347826087,1.5,1.326086956521739,112,68,232,130,102,0.6071428571428571,2.0714285714285716,1.1607142857142858,-0.21583850931677012,-0.5714285714285716,0.16537267080745321,-94,-66
1954_22,1954,Quarter-finals,Brazil,Hungary,2.0,4.0,team2_win,114,76,237,108,129,0.6666666666666666,2.0789473684210527,0.9473684210526316,32,15,87,57,30,0.46875,2.71875,1.78125,0.19791666666666663,-0.6398026315789473,-0.8338815789473684,99,82
